Final results:	AUC:0.89324
Th_Seg = 0.000000e+00:	PD:[57936/57936, 1.00000]	FA:[4735883166, 9.986159e-01]
Th_Seg = 1.000000e-30:	PD:[57936/57936, 1.00000]	FA:[4735874472, 9.986141e-01]
Th_Seg = 1.000000e-20:	PD:[57920/57936, 0.99972]	FA:[4729074228, 9.971802e-01]
Th_Seg = 1.000000e-19:	PD:[57899/57936, 0.99936]	FA:[4720970845, 9.954715e-01]
Th_Seg = 1.000000e-18:	PD:[57850/57936, 0.99852]	FA:[4707542724, 9.926400e-01]
Th_Seg = 1.000000e-17:	PD:[57775/57936, 0.99722]	FA:[4685954832, 9.880879e-01]
Th_Seg = 1.000000e-16:	PD:[57586/57936, 0.99396]	FA:[4635577523, 9.774653e-01]
Th_Seg = 1.000000e-15:	PD:[57184/57936, 0.98702]	FA:[4213006690, 8.883613e-01]
Th_Seg = 1.000000e-14:	PD:[56323/57936, 0.97216]	FA:[2903080262, 6.121482e-01]
Th_Seg = 1.000000e-13:	PD:[54706/57936, 0.94425]	FA:[2249454498, 4.743236e-01]
Th_Seg = 1.000000e-12:	PD:[51533/57936, 0.88948]	FA:[1889528882, 3.984291e-01]
Th_Seg = 1.000000e-11:	PD:[45994/57936, 0.79388]	FA:[1159074137, 2.444042e-01]
Th_Seg = 1.000000e-10:	PD:[40782/57936, 0.70391]	FA:[74966376, 1.580753e-02]
Th_Seg = 1.000000e-09:	PD:[38804/57936, 0.66977]	FA:[2826937, 5.960925e-04]
Th_Seg = 1.000000e-08:	PD:[37894/57936, 0.65407]	FA:[356087, 7.508508e-05]
Th_Seg = 1.000000e-07:	PD:[37134/57936, 0.64095]	FA:[196233, 4.137801e-05]
Th_Seg = 1.000000e-06:	PD:[36479/57936, 0.62964]	FA:[164686, 3.472595e-05]
Th_Seg = 1.000000e-05:	PD:[35842/57936, 0.61865]	FA:[147320, 3.106413e-05]
Th_Seg = 1.000000e-04:	PD:[35303/57936, 0.60934]	FA:[133770, 2.820696e-05]
Th_Seg = 1.000000e-03:	PD:[34735/57936, 0.59954]	FA:[122401, 2.580967e-05]
Th_Seg = 1.000000e-02:	PD:[34169/57936, 0.58977]	FA:[112345, 2.368925e-05]
Th_Seg = 1.000000e-01:	PD:[33583/57936, 0.57966]	FA:[102891, 2.169576e-05]
Th_Seg = 1.500000e-01:	PD:[33487/57936, 0.57800]	FA:[101088, 2.131558e-05]
Th_Seg = 2.000000e-01:	PD:[33405/57936, 0.57658]	FA:[99699, 2.102269e-05]
Th_Seg = 2.500000e-01:	PD:[33335/57936, 0.57538]	FA:[98595, 2.078990e-05]
Th_Seg = 3.000000e-01:	PD:[33277/57936, 0.57438]	FA:[97665, 2.059380e-05]
Th_Seg = 3.500000e-01:	PD:[33230/57936, 0.57356]	FA:[96798, 2.041098e-05]
Th_Seg = 4.000000e-01:	PD:[33183/57936, 0.57275]	FA:[95970, 2.023639e-05]
Th_Seg = 4.500000e-01:	PD:[33126/57936, 0.57177]	FA:[95208, 2.007571e-05]
Th_Seg = 5.000000e-01:	PD:[33078/57936, 0.57094]	FA:[94475, 1.992115e-05]
Th_Seg = 5.500000e-01:	PD:[33027/57936, 0.57006]	FA:[93722, 1.976237e-05]
Th_Seg = 6.000000e-01:	PD:[32979/57936, 0.56923]	FA:[92913, 1.959178e-05]
Th_Seg = 6.500000e-01:	PD:[32926/57936, 0.56832]	FA:[92085, 1.941719e-05]
Th_Seg = 7.000000e-01:	PD:[32874/57936, 0.56742]	FA:[91257, 1.924260e-05]
Th_Seg = 7.500000e-01:	PD:[32812/57936, 0.56635]	FA:[90280, 1.903659e-05]
Th_Seg = 8.000000e-01:	PD:[32752/57936, 0.56531]	FA:[89173, 1.880316e-05]
Th_Seg = 8.500000e-01:	PD:[32672/57936, 0.56393]	FA:[87838, 1.852166e-05]
Th_Seg = 9.000000e-01:	PD:[32534/57936, 0.56155]	FA:[85987, 1.813136e-05]
Th_Seg = 9.500000e-01:	PD:[32314/57936, 0.55775]	FA:[83011, 1.750383e-05]
Th_Seg = 9.750000e-01:	PD:[32074/57936, 0.55361]	FA:[80054, 1.688031e-05]
Th_Seg = 9.800000e-01:	PD:[31990/57936, 0.55216]	FA:[79124, 1.668421e-05]
Th_Seg = 9.900000e-01:	PD:[31741/57936, 0.54786]	FA:[76143, 1.605564e-05]
Th_Seg = 9.950000e-01:	PD:[31464/57936, 0.54308]	FA:[73230, 1.544140e-05]
Th_Seg = 9.990000e-01:	PD:[30722/57936, 0.53027]	FA:[66505, 1.402335e-05]
Th_Seg = 9.995000e-01:	PD:[30370/57936, 0.52420]	FA:[63516, 1.339309e-05]
Th_Seg = 9.999000e-01:	PD:[29462/57936, 0.50853]	FA:[57069, 1.203366e-05]
Th_Seg = 9.999900e-01:	PD:[28036/57936, 0.48391]	FA:[49018, 1.033601e-05]
Th_Seg = 9.999990e-01:	PD:[26574/57936, 0.45868]	FA:[41952, 8.846066e-06]
Th_Seg = 9.999999e-01:	PD:[25479/57936, 0.43978]	FA:[37288, 7.862607e-06]
Th_Seg = 1.000000e+00:	PD:[24751/57936, 0.42721]	FA:[34543, 7.283792e-06]


